LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_Resistance_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,SPT_BlowCount_N,Moisture_Content,Mv_400kPa,Cv_400kPa,CPT_MPa,Grain_2.00mm,Grain_4.75mm,Grain_4.25um,Grain_2um,Fines_Content,Sand_Fraction,Gravel_Fraction,Clay_Fraction,Silt_Fraction,Liquidity_Index,Consistency_Index,Plasticity_Ratio,LL_over_PL
,,,22.563,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,79.2,45.7,7.5,geotechnical_data_0.xlsx,,,,,,,,,,7.5,71.7,20.799999999999997,,,,,,
,,,22.7592,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.07,89.2,53.2,9.4,geotechnical_data_0.xlsx,,,,,,,,,,9.4,79.8,10.799999999999997,,,,,,
47.0,35.5,11.5,18.8352,10.0,40.8,0.47,0.66,0.75,0.85,,,66.09,99.2,63.9,36.5,geotechnical_data_0.xlsx,,,,,,,,,,36.5,62.7,0.7999999999999972,,,,,0.24468085106382978,1.323943661971831
48.5,36.4,12.1,18.9333,12.0,48.5,0.5,0.7,0.8,0.91,,,,98.5,65.4,35.2,geotechnical_data_0.xlsx,,,,,,,,,,35.2,63.3,1.5,,,,,0.24948453608247423,1.3324175824175826
44.8,30.8,14.0,18.4428,15.0,66.5,0.39,0.56,0.78,0.95,,,103.86,98.6,81.3,45.3,geotechnical_data_0.xlsx,,,,,,,,,,45.3,53.3,1.4000000000000057,,,,,0.3125,1.4545454545454544
48.0,37.0,11.0,19.2276,16.0,55.4,0.49,0.54,0.61,0.85,,,,97.6,73.4,38.5,geotechnical_data_0.xlsx,,,,,,,,,,38.5,59.099999999999994,2.4000000000000057,,,,,0.22916666666666666,1.2972972972972974
46.5,36.7,9.8,19.3257,16.0,42.2,0.41,0.48,0.56,0.72,,,84.98,96.8,68.5,36.3,geotechnical_data_0.xlsx,,,,,,,,,,36.3,60.5,3.200000000000003,,,,,0.210752688172043,1.2670299727520435
,,,20.5029,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84.3,46.8,17.2,geotechnical_data_0.xlsx,,,,,,,,,,17.2,67.1,15.700000000000003,,,,,,
,,,21.189600000000002,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.3,88.2,43.7,16.8,geotechnical_data_0.xlsx,,,,,,,,,,16.8,71.4,11.799999999999997,,,,,,
,,,21.582000000000004,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.63,86.2,42.2,11.2,geotechnical_data_0.xlsx,,,,,,,,,,11.2,75.0,13.799999999999997,,,,,,
,,,,,,,,,,,,,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,
,,,22.0725,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.96,85.5,38.9,9.9,geotechnical_data_0.xlsx,,,,,,,,,,9.9,75.6,14.5,,,,,,
,,,22.6611,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.2,33.2,4.6,geotechnical_data_0.xlsx,,,,,,,,,,4.6,65.60000000000001,29.799999999999997,,,,,,
,,,22.857300000000002,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.5,74.5,34.7,5.4,geotechnical_data_0.xlsx,,,,,,,,,,5.4,69.1,25.5,,,,,,
,,,22.0725,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78.2,40.2,8.2,geotechnical_data_0.xlsx,,,,,,,,,,8.2,70.0,21.799999999999997,,,,,,
,,,,,,,,,,,,273.82,,,,geotechnical_data_0.xlsx,,,,,,,,,,,,,,,,,,
,,,22.268700000000003,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.14,80.5,39.9,10.5,geotechnical_data_0.xlsx,,,,,,,,,,10.5,70.0,19.5,,,,,,
47.6,36.4,11.2,18.8352,12.0,41.8,0.47,,0.66,0.75,,0.85,66.09,99.3,68.9,34.5,geotechnical_data_1.xlsx,,,,,,,,,,34.5,64.8,0.7000000000000028,,,,,0.2352941176470588,1.3076923076923077
48.1,36.1,12.0,18.9333,12.0,46.5,0.5,,0.7,0.8,,0.91,,98.7,65.4,32.6,geotechnical_data_1.xlsx,,,,,,,,,,32.6,66.1,1.2999999999999972,,,,,0.24948024948024947,1.332409972299169
44.6,30.6,14.0,18.4428,15.0,66.2,0.39,,0.56,0.78,,0.95,94.42,98.4,79.5,44.1,geotechnical_data_1.xlsx,,,,,,,,,,44.1,54.300000000000004,1.5999999999999943,,,,,0.3139013452914798,1.457516339869281
46.9,37.1,9.8,19.3257,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,38.5,59.099999999999994,2.4000000000000057,,,,,0.20895522388059704,1.2641509433962264
46.9,37.1,9.8,19.3257,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,96.8,68.5,36.3,geotechnical_data_1.xlsx,,,,,,,,,,36.3,60.5,3.200000000000003,,,,,0.20895522388059704,1.2641509433962264
47.5,36.0,11.5,18.8352,12.0,40.7,0.47,,0.66,0.75,,0.84,75.53,99.2,63.9,36.5,geotechnical_data_1.xlsx,,,,,,,,,,36.5,62.7,0.7999999999999972,,,,,0.24210526315789474,1.3194444444444444
45.2,31.2,14.0,18.4428,15.0,65.8,0.39,,0.56,0.78,,0.94,103.86,98.5,80.5,45.1,geotechnical_data_1.xlsx,,,,,,,,,,45.1,53.4,1.5,,,,,0.30973451327433627,1.448717948717949
48.6,37.4,11.2,19.2276,16.0,55.4,0.49,,0.54,0.61,,0.85,,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,38.5,59.099999999999994,2.4000000000000057,,,,,0.23045267489711932,1.2994652406417113
47.2,37.4,9.8,19.3257,16.0,42.2,0.41,,0.48,0.56,,0.72,84.98,96.8,68.5,36.3,geotechnical_data_1.xlsx,,,,,,,,,,36.3,60.5,3.200000000000003,,,,,0.2076271186440678,1.2620320855614975
47.5,36.0,11.5,18.8352,12.0,44.8,0.47,,0.66,0.75,,0.85,75.53,99.2,63.9,35.5,geotechnical_data_1.xlsx,,,,,,,,,,35.5,63.7,0.7999999999999972,,,,,0.24210526315789474,1.3194444444444444
48.5,36.7,11.8,18.9333,12.0,48.0,0.5,,0.7,0.8,,0.9,,98.5,65.4,35.2,geotechnical_data_1.xlsx,,,,,,,,,,35.2,63.3,1.5,,,,,0.24329896907216497,1.321525885558583
45.6,31.9,13.7,18.4428,15.0,65.7,0.39,,0.56,0.78,,0.95,113.3,98.6,80.8,45.3,geotechnical_data_1.xlsx,,,,,,,,,,45.3,53.3,1.4000000000000057,,,,,0.30043859649122806,1.4294670846394986
48.0,38.2,9.8,19.3257,16.0,55.4,0.49,,0.54,0.61,,0.85,94.42,97.6,73.4,38.5,geotechnical_data_1.xlsx,,,,,,,,,,38.5,59.099999999999994,2.4000000000000057,,,,,0.2041666666666667,1.256544502617801
47.5,36.0,11.5,18.8352,12.0,40.6,0.47,,0.66,0.75,,0.86,75.53,99.2,63.9,36.5,geotechnical_data_1.xlsx,,,,,,,,,,36.5,62.7,0.7999999999999972,,,,,0.24210526315789474,1.3194444444444444
48.6,36.6,12.0,18.9333,12.0,47.5,0.5,,0.7,0.8,,0.91,,98.5,65.4,35.2,geotechnical_data_1.xlsx,,,,,,,,,,35.2,63.3,1.5,,,,,0.24691358024691357,1.3278688524590163
44.9,30.9,14.0,18.4428,15.0,66.0,0.38,,0.56,0.78,,0.96,132.18,98.4,81.3,44.7,geotechnical_data_1.xlsx,,,,,,,,,,44.7,53.7,1.5999999999999943,,,,,0.311804008908686,1.4530744336569579
44.1,31.1,13.0,18.148500000000002,5.0,61.7,0.28,,0.39,1.07,,1.34,,98.4,67.2,44.0,geotechnical_data_2.xlsx,,,,,,,,,,44.0,54.400000000000006,1.5999999999999943,,,,,0.2947845804988662,1.4180064308681672
45.4,32.6,12.8,18.148500000000002,7.0,62.7,0.31,,0.42,1.21,,1.42,169.95,97.6,65.44,45.2,geotechnical_data_2.xlsx,,,,,,,,,,45.2,52.39999999999999,2.4000000000000057,,,,,0.28193832599118945,1.392638036809816
46.0,30.5,15.5,18.050400000000003,8.0,62.0,0.24,,0.35,1.1,,1.36,151.07,96.7,77.5,46.2,geotechnical_data_2.xlsx,,,,,,,,,,46.2,50.5,3.299999999999997,,,,,0.33695652173913043,1.5081967213114753
46.4,30.4,16.0,18.050400000000003,10.0,64.6,0.23,,0.31,1.15,,1.29,,95.6,76.3,44.2,geotechnical_data_2.xlsx,,,,,,,,,,44.2,51.39999999999999,4.400000000000006,,,,,0.3448275862068966,1.5263157894736843
38.1,29.1,9.0,18.4428,12.0,56.0,0.17,,0.28,1.02,,1.23,236.05,94.0,73.7,42.9,geotechnical_data_2.xlsx,,,,,,,,,,42.9,51.1,6.0,,,,,0.23622047244094488,1.309278350515464
24.4,19.6,4.8,18.639,15.0,52.6,0.15,,0.26,1.05,,1.19,,93.5,72.9,39.4,geotechnical_data_2.xlsx,,,,,,,,,,39.4,54.1,6.5,,,,,0.19672131147540983,1.2448979591836733
44.8,30.8,14.0,18.050400000000003,6.0,59.4,0.31,,0.45,1.05,,1.23,,98.2,66.4,46.1,geotechnical_data_2.xlsx,,,,,,,,,,46.1,52.1,1.7999999999999972,,,,,0.3125,1.4545454545454544
44.1,30.3,13.8,18.148500000000002,7.0,62.4,0.34,,0.48,1.1,,1.39,,97.6,65.8,44.0,geotechnical_data_2.xlsx,,,,,,,,,,44.0,53.599999999999994,2.4000000000000057,,,,,0.3129251700680272,1.4554455445544554
48.0,33.0,15.0,18.148500000000002,15.0,63.7,0.26,,0.4,0.92,,1.25,179.39,97.2,57.4,41.3,geotechnical_data_2.xlsx,,,,,,,,,,41.3,55.900000000000006,2.799999999999997,,,,,0.3125,1.4545454545454546
45.7,31.1,14.6,18.148500000000002,15.0,64.6,0.3,,0.42,1.08,,1.37,,96.4,54.7,37.5,geotechnical_data_2.xlsx,,,,,,,,,,37.5,58.900000000000006,3.5999999999999943,,,,,0.3194748358862144,1.4694533762057878
48.4,36.6,11.8,18.2466,12.0,65.8,0.34,,0.43,1.31,,1.6,217.16,98.5,73.9,51.3,geotechnical_data_2.xlsx,,,,,,,,,,51.3,47.2,1.5,,,,,0.243801652892562,1.3224043715846994
47.2,35.2,12.0,18.2466,12.0,69.7,0.39,,0.51,1.26,,1.37,,98.1,70.2,43.0,geotechnical_data_2.xlsx,,,,,,,,,,43.0,55.099999999999994,1.9000000000000057,,,,,0.2542372881355932,1.3409090909090908
36.8,18.8,18.0,18.4428,16.0,53.4,0.19,,0.08,0.96,,1.24,,97.6,67.4,39.5,geotechnical_data_2.xlsx,,,,,,,,,,39.5,58.099999999999994,2.4000000000000057,,,,,0.48913043478260876,1.957446808510638
35.4,20.2,15.2,18.5409,18.0,47.2,0.17,,0.06,0.87,,1.08,,96.8,58.5,37.2,geotechnical_data_2.xlsx,,,,,,,,,,37.2,59.599999999999994,3.200000000000003,,,,,0.4293785310734463,1.7524752475247525
52.6,35.6,17.0,17.7561,4.0,37.4,0.47,,0.72,1.49,,1.78,,99.2,89.0,55.0,geotechnical_data_2.xlsx,,,,,,,,,,55.0,44.2,0.7999999999999972,,,,,0.3231939163498099,1.4775280898876404
47.0,32.0,15.0,18.050400000000003,6.0,63.2,0.33,,0.38,1.03,,1.34,179.39,95.7,75.1,47.9,geotechnical_data_2.xlsx,,,,,,,,,,47.9,47.800000000000004,4.299999999999997,,,,,0.3191489361702128,1.46875
48.1,31.9,16.2,18.148500000000002,6.0,65.2,0.3,,0.4,1.12,,1.3,,96.4,77.5,48.5,geotechnical_data_2.xlsx,,,,,,,,,,48.5,47.900000000000006,3.5999999999999943,,,,,0.33679833679833676,1.5078369905956115
41.2,30.7,10.5,18.2466,12.0,65.8,0.36,,0.42,1.24,,1.39,,98.0,72.7,41.0,geotechnical_data_2.xlsx,,,,,,,,,,41.0,57.0,2.0,,,,,0.25485436893203883,1.3420195439739415
43.2,31.8,11.4,18.344700000000003,12.0,71.7,0.4,,0.49,1.15,,1.25,,97.6,69.5,36.2,geotechnical_data_2.xlsx,,,,,,,,,,36.2,61.39999999999999,2.4000000000000057,,,,,0.2638888888888889,1.358490566037736
49.0,34.8,14.2,17.9523,5.0,58.5,0.24,,0.39,1.25,,1.43,,98.6,69.5,49.0,geotechnical_data_2.xlsx,,,,,,,,,,49.0,49.599999999999994,1.4000000000000057,,,,,0.2897959183673469,1.4080459770114944
45.2,31.7,13.5,18.050400000000003,5.0,60.0,0.21,,0.35,1.19,,1.37,179.39,97.8,68.0,48.2,geotechnical_data_2.xlsx,,,,,,,,,,48.2,49.599999999999994,2.200000000000003,,,,,0.2986725663716814,1.4258675078864353
42.0,31.0,11.0,18.2466,6.0,61.8,0.17,,0.28,1.05,,1.21,151.07,97.2,63.9,42.5,geotechnical_data_2.xlsx,,,,,,,,,,42.5,54.7,2.799999999999997,,,,,0.2619047619047619,1.3548387096774193
43.2,31.0,12.2,18.2466,8.0,63.5,0.18,,0.35,1.12,,1.34,,97.5,65.4,43.2,geotechnical_data_2.xlsx,,,,,,,,,,43.2,54.3,2.5,,,,,0.2824074074074074,1.3935483870967742
44.2,31.7,12.5,18.2466,12.0,70.3,0.39,,0.46,1.28,,1.45,226.6,98.5,73.5,44.1,geotechnical_data_2.xlsx,,,,,,,,,,44.1,54.4,1.5,,,,,0.2828054298642534,1.3943217665615144
45.7,32.8,12.9,18.344700000000003,12.0,72.2,0.42,,0.51,1.2,,1.36,,97.8,69.5,45.2,geotechnical_data_2.xlsx,,,,,,,,,,45.2,52.599999999999994,2.200000000000003,,,,,0.28227571115973743,1.3932926829268295
41.0,23.0,18.0,17.854200000000002,15.0,59.4,0.19,,0.08,0.96,,1.24,,97.6,69.4,41.5,geotechnical_data_2.xlsx,,,,,,,,,,41.5,56.099999999999994,2.4000000000000057,,,,,0.43902439024390244,1.7826086956521738
37.3,22.1,15.2,18.050400000000003,17.0,57.2,0.17,,0.06,0.87,,1.08,292.7,96.8,68.5,40.3,geotechnical_data_2.xlsx,,,,,,,,,,40.3,56.5,3.200000000000003,,,,,0.4075067024128686,1.687782805429864
28.5,17.0,11.5,18.0,6.0,23.0,0.38,,,0.67,,,,,63.0,39.0,geotechnical_data_3.xlsx,,23.5,0.45,0.84,,100.0,,,,39.0,61.0,0.0,,,0.5652173913043478,0.43478260869565216,0.40350877192982454,1.6764705882352942
30.0,18.0,12.0,18.3,8.0,29.8,0.37,,,0.75,,,,,67.0,31.0,geotechnical_data_3.xlsx,,26.0,0.51,0.92,,97.0,,,,31.0,66.0,3.0,,,0.6666666666666666,0.3333333333333333,0.4,1.6666666666666667
31.4,18.0,13.4,18.4,8.0,32.0,0.43,,,0.75,,,,,68.0,41.0,geotechnical_data_3.xlsx,,26.4,0.55,0.86,,100.0,,,,41.0,59.0,0.0,,,0.626865671641791,0.3731343283582089,0.4267515923566879,1.7444444444444445
28.2,13.7,14.5,18.6,10.0,34.6,0.48,,,0.8,,,,,65.0,31.0,geotechnical_data_3.xlsx,37.0,27.4,0.65,0.98,,94.0,,,,31.0,63.0,6.0,,,0.9448275862068966,0.055172413793103496,0.5141843971631206,2.0583941605839415
20.4,9.9,10.5,19.8,15.0,21.0,0.21,,,0.51,,,,,55.0,27.0,geotechnical_data_3.xlsx,,18.4,0.32,0.58,,92.0,,,,27.0,65.0,8.0,,,0.8095238095238093,0.19047619047619047,0.5147058823529412,2.0606060606060606
15.2,6.7,8.5,20.5,17.0,19.4,0.24,,,0.47,,,,,45.0,12.0,geotechnical_data_3.xlsx,,15.2,0.36,0.53,,87.0,,,,12.0,75.0,13.0,,,1.0,0.0,0.5592105263157895,2.2686567164179103
28.0,16.2,11.8,18.2,6.0,23.5,0.36,,,0.69,,,,,70.0,38.0,geotechnical_data_3.xlsx,,23.7,0.44,0.82,,100.0,,,,38.0,62.0,0.0,,,0.635593220338983,0.364406779661017,0.42142857142857143,1.7283950617283952
29.7,17.5,12.2,18.3,8.0,29.4,0.39,,,0.74,,,,,64.0,31.0,geotechnical_data_3.xlsx,13.0,25.4,0.52,0.9,,100.0,,,,31.0,69.0,0.0,,,0.6475409836065573,0.3524590163934427,0.41077441077441074,1.697142857142857
32.7,19.5,13.2,18.4,8.0,32.0,0.42,,,0.76,,,,,68.0,39.0,geotechnical_data_3.xlsx,,26.8,0.53,0.85,,100.0,,,,39.0,61.0,0.0,,,0.5530303030303031,0.44696969696969713,0.40366972477064217,1.676923076923077
28.1,14.0,14.1,18.6,10.0,35.2,0.46,,,0.8,,,,,65.0,29.0,geotechnical_data_3.xlsx,39.0,27.0,0.65,0.94,,94.0,,,,29.0,65.0,6.0,,,0.9219858156028369,0.07801418439716322,0.5017793594306049,2.007142857142857
18.4,7.9,10.5,19.8,15.0,24.0,0.21,,,0.51,,,,,57.0,26.0,geotechnical_data_3.xlsx,,18.4,0.29,0.64,,92.0,,,,26.0,66.0,8.0,,,0.9999999999999998,0.0,0.5706521739130436,2.3291139240506324
15.2,6.7,8.5,20.5,16.0,22.6,0.24,,,0.48,,,,,48.0,16.0,geotechnical_data_3.xlsx,,15.2,0.36,0.57,,87.0,,,,16.0,71.0,13.0,,,1.0,0.0,0.5592105263157895,2.2686567164179103
28.7,16.8,11.9,18.1,6.0,23.5,0.37,,,0.69,,,,,69.0,43.0,geotechnical_data_3.xlsx,,22.8,0.43,0.84,,100.0,,,,43.0,57.0,0.0,,,0.5042016806722689,0.49579831932773094,0.41463414634146345,1.7083333333333333
29.4,17.2,12.2,18.3,8.0,28.2,0.4,,,0.74,,,,,64.0,31.0,geotechnical_data_3.xlsx,14.0,25.7,0.52,0.9,,99.0,,,,31.0,68.0,1.0,,,0.6967213114754098,0.3032786885245901,0.41496598639455784,1.7093023255813953
31.4,18.3,13.1,18.5,8.0,32.2,0.43,,,0.72,,,,,71.0,41.0,geotechnical_data_3.xlsx,,26.4,0.54,0.86,,100.0,,,,41.0,59.0,0.0,,,0.6183206106870227,0.3816793893129771,0.4171974522292994,1.715846994535519
28.6,15.1,13.5,18.6,10.0,34.8,0.48,,,0.81,,,,,68.0,32.0,geotechnical_data_3.xlsx,34.0,27.4,0.66,0.92,,94.0,,,,32.0,62.0,6.0,,,0.911111111111111,0.0888888888888891,0.47202797202797203,1.8940397350993379
19.1,9.0,10.1,19.6,15.0,21.0,0.21,,,0.42,,,,,57.0,30.0,geotechnical_data_3.xlsx,,18.4,0.31,0.58,,95.0,,,,30.0,65.0,5.0,,,0.9306930693069306,0.06930693069306959,0.5287958115183246,2.1222222222222222
16.2,6.7,9.5,20.1,17.0,20.0,0.24,,,0.44,,,,,48.0,14.0,geotechnical_data_3.xlsx,,15.2,0.37,0.5,,88.0,,,,14.0,74.0,12.0,,,0.8947368421052632,0.10526315789473684,0.5864197530864198,2.417910447761194
35.2,23.2,12.0,18.7,6.0,38.4,0.74,,,1.2,,,,,75.1,40.1,geotechnical_data_4.xlsx,,47.6,0.62,1.36,,100.0,,,,40.1,59.9,0.0,,,2.0333333333333337,-1.0333333333333332,0.3409090909090909,1.517241379310345
39.5,20.6,18.9,19.5,8.0,47.0,0.71,,,0.91,,,75.53,,72.1,32.4,geotechnical_data_4.xlsx,,43.5,0.39,1.1,,100.0,,,,32.4,67.6,0.0,,,1.2116402116402116,-0.21164021164021166,0.4784810126582278,1.9174757281553396
39.8,20.8,19.0,19.5,8.0,47.5,0.64,,,0.95,,,103.86,,68.4,28.7,geotechnical_data_4.xlsx,,42.3,0.68,0.98,,100.0,,,,28.7,71.3,0.0,,,1.1315789473684208,-0.13157894736842105,0.47738693467336685,1.9134615384615383
49.6,30.2,19.4,19.7,11.0,61.0,0.58,,,0.81,,,151.07,,67.2,32.4,geotechnical_data_4.xlsx,,42.6,0.57,0.88,,99.7,,,,32.4,67.30000000000001,0.29999999999999716,,,0.6391752577319589,0.3608247422680413,0.3911290322580645,1.642384105960265
42.4,20.9,21.5,19.9,9.0,40.0,0.41,,,0.87,,,217.16,,58.4,34.9,geotechnical_data_4.xlsx,,45.7,0.48,0.95,,97.4,,,,34.9,62.50000000000001,2.5999999999999943,,,1.1534883720930234,-0.15348837209302346,0.5070754716981132,2.028708133971292
44.0,24.3,19.7,20.1,7.0,52.4,0.37,,,0.51,,,,,59.6,22.4,geotechnical_data_4.xlsx,,45.6,0.41,0.82,,94.1,,,,22.4,71.69999999999999,5.900000000000006,,,1.0812182741116751,-0.0812182741116752,0.4477272727272727,1.8106995884773662
42.6,23.1,19.5,20.5,8.0,54.6,0.32,,,0.65,,,226.6,,47.8,18.6,geotechnical_data_4.xlsx,,44.8,0.39,0.77,,92.8,,,,18.6,74.19999999999999,7.200000000000003,,,1.1128205128205126,-0.1128205128205126,0.45774647887323944,1.844155844155844
87.4,36.0,51.4,19.7,11.0,58.0,0.64,,,1.07,,,321.02,,75.8,74.6,geotechnical_data_4.xlsx,,89.6,0.75,1.48,,99.6,,,,74.6,25.0,0.4000000000000057,,,1.0428015564202333,-0.04280155642023324,0.5881006864988558,2.427777777777778
86.7,34.0,52.7,19.9,12.0,63.0,0.72,,,1.23,,,,,74.2,84.3,geotechnical_data_4.xlsx,,89.4,0.96,2.15,,100.0,,,,84.3,15.700000000000003,0.0,,,1.0512333965844403,-0.05123339658444028,0.607843137254902,2.5500000000000003
